Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2012","2012","1000 ha","4772566.2806","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2013","2013","1000 ha","4763129.8443","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2014","2014","1000 ha","4761795.4362","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2015","2015","1000 ha","4736496.9596","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2016","2016","1000 ha","4732764.163","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2017","2017","1000 ha","4767232.4995","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4750459.2597","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6610","Agricultural land","2019","2019","1000 ha","4752110.7106","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","1990","1990","1000 ha","4231591.3724","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","1991","1991","1000 ha","4228595.0324","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","1992","1992","1000 ha","4220756.6424","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","1993","1993","1000 ha","4212918.2523","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5000","World","5110","Area","6646","Forest land","1994","1994","1000 ha","4205079.8623","A","Aggregate, may include official, semi-official, estimated or calculated data"
