Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5300","Asia","5110","Area","6601","Land area","2016","2016","1000 ha","3110574.49","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6601","Land area","2017","2017","1000 ha","3110578.52","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6601","Land area","2018","2018","1000 ha","3110574.29","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6601","Land area","2019","2019","1000 ha","3110576.337","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2010","2010","1000 ha","1659361.67","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2011","2011","1000 ha","1660026.36","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2012","2012","1000 ha","1661143.6233","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2013","2013","1000 ha","1662255.45","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2014","2014","1000 ha","1662982.84","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2015","2015","1000 ha","1664664.6799","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2016","2016","1000 ha","1667564.11","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2017","2017","1000 ha","1669972.22","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1669231.6867","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2019","2019","1000 ha","1667953.585","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6646","Forest land","2010","2010","1000 ha","610959.9065","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6646","Forest land","2011","2011","1000 ha","611989.2321","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6646","Forest land","2012","2012","1000 ha","613018.5577","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6646","Forest land","2013","2013","1000 ha","614047.8833","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6646","Forest land","2014","2014","1000 ha","615077.209","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6646","Forest land","2015","2015","1000 ha","616106.5346","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6646","Forest land","2016","2016","1000 ha","618419.5977","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6646","Forest land","2017","2017","1000 ha","618894.215","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6646","Forest land","2018","2018","1000 ha","620160.1262","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6646","Forest land","2019","2019","1000 ha","621427.43","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6601","Land area","2010","2010","1000 ha","2213252.0827","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6601","Land area","2011","2011","1000 ha","2213243.4627","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6601","Land area","2012","2012","1000 ha","2213258.3327","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6601","Land area","2013","2013","1000 ha","2213388.1787","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6601","Land area","2014","2014","1000 ha","2213464.9227","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6601","Land area","2015","2015","1000 ha","2213411.3497","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6601","Land area","2016","2016","1000 ha","2213447.0927","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6601","Land area","2017","2017","1000 ha","2213446.6607","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6601","Land area","2018","2018","1000 ha","2213515.2226","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6601","Land area","2019","2019","1000 ha","2213500.7483","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6610","Agricultural land","2010","2010","1000 ha","467645.15","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6610","Agricultural land","2011","2011","1000 ha","466604.19","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5400","Europe","5110","Area","6610","Agricultural land","2012","2012","1000 ha","465708.4","A","Aggregate, may include official, semi-official, estimated or calculated data"
