Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2010","2010","1000 ha","1140587.05","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2011","2011","1000 ha","1137026.544","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2012","2012","1000 ha","1135804.2818","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2013","2013","1000 ha","1137064.582","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2014","2014","1000 ha","1132926.51","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2015","2015","1000 ha","1131877.34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2016","2016","1000 ha","1129276.85","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2017","2017","1000 ha","1131035.5938","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1128210.8045","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2019","2019","1000 ha","1127759.8045","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6620","Cropland","2010","2010","1000 ha","366684.27","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6620","Cropland","2011","2011","1000 ha","366060.42","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6620","Cropland","2012","2012","1000 ha","366034.16","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6620","Cropland","2013","2013","1000 ha","367232.9","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6620","Cropland","2014","2014","1000 ha","366572.77","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6620","Cropland","2015","2015","1000 ha","366821.8","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6620","Cropland","2016","2016","1000 ha","365698.7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6620","Cropland","2017","2017","1000 ha","369851.07","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6620","Cropland","2018","2018","1000 ha","368734.7697","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6620","Cropland","2019","2019","1000 ha","368197.9297","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6621","Arable land","2010","2010","1000 ha","340284.27","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6621","Arable land","2011","2011","1000 ha","339657.22","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6621","Arable land","2012","2012","1000 ha","339932.46","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6621","Arable land","2013","2013","1000 ha","341631.1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6621","Arable land","2014","2014","1000 ha","341141.47","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6621","Arable land","2015","2015","1000 ha","341397.8","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6621","Arable land","2016","2016","1000 ha","340690.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6621","Arable land","2017","2017","1000 ha","343054.83","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6621","Arable land","2018","2018","1000 ha","341875.6797","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6621","Arable land","2019","2019","1000 ha","341232.9397","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2010","2010","1000 ha","1624344.25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2011","2011","1000 ha","1621682.85","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2012","2012","1000 ha","1619021.45","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2013","2013","1000 ha","1616360.05","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2014","2014","1000 ha","1613698.65","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2015","2015","1000 ha","1611037.25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2016","2016","1000 ha","1608023.35","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2017","2017","1000 ha","1604222.0886","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2018","2018","1000 ha","1601863.13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2019","2019","1000 ha","1599319.34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6602","Agriculture","2010","2010","1000 ha","1659361.67","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6602","Agriculture","2011","2011","1000 ha","1660026.36","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6602","Agriculture","2012","2012","1000 ha","1661143.6233","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6602","Agriculture","2013","2013","1000 ha","1662695.691","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6602","Agriculture","2014","2014","1000 ha","1663473.3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6602","Agriculture","2015","2015","1000 ha","1665108.6699","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6602","Agriculture","2016","2016","1000 ha","1668044.45","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6602","Agriculture","2017","2017","1000 ha","1670457.4852","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6602","Agriculture","2018","2018","1000 ha","1669716.3797","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6602","Agriculture","2019","2019","1000 ha","1668442.0155","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2010","2010","1000 ha","1659361.67","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2011","2011","1000 ha","1660026.36","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2012","2012","1000 ha","1661143.6233","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6610","Agricultural land","2013","2013","1000 ha","1662255.45","A","Aggregate, may include official, semi-official, estimated or calculated data"
